Generation,Run 1,Run 2,Run 3,Run 4,Run 5,Run 6,Run 7,Run 8,Run 9,Run 10,Average
1,1030.48250289,481.12047863,408.53814857,1838.98946192,1477.61575055,714.86864204,764.1155657,339.13130966,1174.57907949,796.41103845,902.58519779
5,1764.64262706,904.23139239,759.81309914,2139.0863756,2223.4342694,897.21916813,900.68539339,367.37757786,2272.28798616,1364.19191725,1359.29698064
10,2442.67664833,1060.75043381,1148.06620956,2419.75551388,2500.73468195,900.91510492,901.00088386,628.82042875,2509.0,2132.02367402,1664.37435791
15,2505.55028908,1402.50037394,1603.73977953,2501.0,2501.0,900.99843927,901.00088386,864.04568631,2509.0,2369.2227637,1805.80582157
20,2509.0,1770.23097707,2000.116327,2501.0,2501.0,901.00166391,901.00088386,900.97636303,2509.0,2509.0,1900.23262149
25,2509.0,2257.1375288,2229.1013919,2501.0,2501.0,901.00166879,901.00088386,901.00166915,2509.0,2509.0,1971.82431425
30,2509.0,2501.0,2509.0,2501.0,2501.0,901.00166945,901.00088386,901.00166943,2509.0,2509.0,2024.20042227
35,2509.0,2501.0,2509.0,2501.0,2501.0,901.00166945,901.00088386,901.00166943,2509.0,2509.0,2024.20042227
40,2509.0,2501.0,2509.0,2501.0,2501.0,901.00166945,901.00088386,901.00166943,2509.0,2509.0,2024.20042227
